,LONGNAME,name,STATION_ID,LINES,zone,lat,lon,jaro_score
37,Riverdale,Riverdale,5173.0,Electric,Zone 2,41.646483,-87.623272,1.0
94,Riverside,Riverside,10111.0,BNSF,Zone 2,41.827328,-87.820221,1.0
55,Robbins,Robbins,6172.0,Rock Is.,Zone 2,41.640853,-87.694537,1.0
208,Rogers Park,Rogers Park,17094.0,UP-N,Zone 2,42.009321,-87.67555,1.0
148,Roselle,Roselle,12239.0,Milw-W,Zone 4,41.981544,-88.067191,1.0
241,Rosemont,Rosemont,0.0,NCS,Zone 2,41.975701,-87.873758,1.0
192,Round Lake,Round Lake,15440.0,Milw-N,Zone 4,42.354652,-88.094014,1.0
204,Round Lake Beach,Round Lake Beach,16459.0,NCS,Zone 4,42.385137,-88.065351,1.0
111,Route 59,Route 59,10316.0,BNSF,Zone 4,41.778068,-88.208743,1.0
149,Schaumburg,Schaumburg,12265.0,Milw-W,Zone 4,41.989253,-88.11823,1.0
242,Schiller Park,Schiller Park,0.0,NCS,Zone 2,41.962843,-87.870378,1.0
2,South Shore,South Shore,1103.0,Electric,Zone 2,41.76518,-87.565669,1.0
9,State Street,State Street,4156.0,Electric,Zone 2,41.674421,-87.622077,1.0
10,Stewart Ridge,Stewart Ridge,4160.0,Electric,Zone 2,41.674318,-87.631437,1.0
99,Stone Avenue (LaGrange),Stone Avenue (LaGrange),10142.0,BNSF,Zone 3,41.814233,-87.878383,1.0
0,Stony Island,Stony Island,1091.0,Electric,Zone 2,41.766067,-87.586953,1.0
84,Summit,Summit,9119.0,Heritage,Zone 2,41.795023,-87.809703,1.0
58,Tinley Park,Tinley Park,6235.0,Rock Is.,Zone 3,41.576018,-87.782759,1.0
74,Union Station,Union Station,8000.0,"Milw-N, Milw-W, NCS, BNSF, Heritage, SWS",Zone 1,41.879286,-87.638976,1.0
49,University Park,University Park,5315.0,Electric,Zone 3,41.45965,-87.723129,1.0
17,Van Buren Street,Van Buren Street,5008.0,"Electric, S. Shore",Zone 1,41.877113,-87.623017,1.0
201,Vernon Hills,Vernon Hills,16330.0,NCS,Zone 4,42.215501,-87.964739,1.0
121,Villa Park,Villa Park,11178.0,UP-W,Zone 3,41.896399,-87.977405,1.0
228,Waukegan,Waukegan,17359.0,UP-N,Zone 4,42.360098,-87.828138,1.0
127,West Chicago,West Chicago,11300.0,UP-W,Zone 4,41.88108,-88.198992,1.0
103,West Hinsdale,West Hinsdale,10178.0,BNSF,Zone 3,41.799089,-87.945474,1.0
