STATION_ID,LONGNAME,name,,LINES,zone,lat,lon,jaro_score
15460,Long Lake,Long Lake,,Milw-N,Zone 4,42.367879,-88.12803,1
6109,Longwood (95th Street),Longwood (95th Street),,Rock Is.,Zone 2,41.720944,-87.650448,1
10212,Main Street (Downers Grove),Main Street (Downers Grove),,BNSF,Zone 4,41.795534,-88.009873,1
17110,Main Street (Evanston),Main Street (Evanston),,UP-N,Zone 2,42.03361,-87.680141,1
0,Manhattan,Manhattan,,SWS,Zone 4,41.418952,-87.988721,1
12140,Mannheim,Mannheim,,Milw-W,Zone 2,41.941773,-87.884052,1
12091,Mars,Mars,,Milw-W,Zone 2,41.919288,-87.794401,1
5282,Matteson,Matteson,,Electric,Zone 3,41.498553,-87.702339,1
15090,Mayfair,Mayfair,,Milw-N,Zone 2,41.960214,-87.746208,1
11105,Maywood,Maywood,,UP-W,Zone 2,41.888342,-87.838687,1
5027,McCormick Place,McCormick Place,,"Electric, S. Shore",Zone 2,41.851392,-87.616227,1
13506,McHenry,McHenry,,UP-NW,Zone 4,42.343574,-88.276159,1
12230,Medinah,Medinah,,Milw-W,Zone 3,41.978558,-88.052362,1
11113,Melrose Park,Melrose Park,,UP-W,Zone 2,41.890245,-87.855863,1
6184,Midlothian,Midlothian,,Rock Is.,Zone 2,41.626232,-87.712202,1
5000,Millenium Station,Millennium Station,,"Electric, S. Shore",Zone 1,41.88367,-87.623205,0.9814814814814815
6296,Mokena,Mokena,,Rock Is.,Zone 4,41.531018,-87.886744,1
12095,Mont Clare,Mont Clare,,Milw-W,Zone 2,41.921875,-87.801544,1
15143,Morton Grove,Morton Grove,,Milw-N,Zone 2,42.034976,-87.785024,1
13200,Mount Prospect,Mount Prospect,,UP-NW,Zone 3,42.062976,-87.936196,1
16369,Mundelein,Mundelein,,NCS,Zone 4,42.266886,-87.99784,1
5014,Museum Campus/11th St,Museum Campus / 11th St.,,"Electric, S. Shore",Zone 1,41.868458,-87.621541,0.9265873015873015
10285,Naperville,Naperville,,BNSF,Zone 4,41.779769,-88.14556,1
12360,National Street,National Street,,Milw-W,Zone 4,42.026435,-88.278637,1
6340,New Lenox,New Lenox,,Rock Is.,Zone 4,41.514536,-87.965225,1
17332,North Chicago,North Chicago,,UP-N,Zone 4,42.328786,-87.837131,1
15188,North Glenview,North Glenview,,Milw-N,Zone 3,42.097575,-87.815743,1
15211,Northbrook,Northbrook,,Milw-N,Zone 3,42.126865,-87.827772,1
13114,Norwood Park,Norwood Park,,UP-NW,Zone 2,41.991631,-87.798982,1
16171,O'Hare Transfer,O'Hare Transfer,,NCS,Zone 2,41.995666,-87.880617,1
6204,Oak Forest,Oak Forest,,Rock Is.,Zone 3,41.604375,-87.738616,1
11085,Oak Park (Marion Street),Oak Park (Marion Street),,UP-W,Zone 2,41.887048,-87.801528,1
13000,Ogilvie Transportation Center,Ogilvie Transportation Center,,"UP-N, UP-NW, UP-W",Zone 1,41.882835,-87.64065,1
5266,Olympia Fields,Olympia Fields,,Electric,Zone 3,41.521168,-87.690235,1
13268,Palatine,Palatine,,UP-NW,Zone 4,42.112841,-88.04817,1
0,Palos Heights,Palos Heights,,SWS,Zone 3,41.681975,-87.807174,1
8203,Palos Park,Palos Park,,SWS,Zone 4,41.668346,-87.821026,1
13135,Park Ridge,Park Ridge,,UP-NW,Zone 2,42.010131,-87.831703,1
0,Pingree Rd.,Pingree Road,,UP-NW,Zone 4,42.234141,-88.298058,0.914141414
16407,Prairie Crossing (Libertyville),Prairie Crossing (Libertyville),,NCS,Zone 4,42.317943,-88.017335,1
